Nom;Prénom;Groupe;Parti ou groupement politique;ID_AN
Gérard;Raphaël;La République en Marche;En marche !;OMC_PA719108
Gipson;Séverine;La République en Marche;En marche !;OMC_PA719326
Girardin;Éric;La République en Marche;En marche !;OMC_PA720222
Giraud;Joël;La République en Marche;En marche !;OMC_PA267336
Givernet;Olga;La République en Marche;En marche !;OMC_PA718674
Goasguen;Claude;Les Républicains;Les Républicains;OMC_PA1498
Gomès;Philippe;UDI, Agir et Indépendants;Calédonie Ensemble;OMC_PA610775
Gomez-Bassac;Valérie;La République en Marche;En marche !;OMC_PA721784
Gosselin;Philippe;Les Républicains;Les Républicains;OMC_PA266797
Gouffier-Cha;Guillaume;La République en Marche;En marche !;OMC_PA721296
Goulet;Perrine;La République en Marche;En marche !;OMC_PA720560
Gouttefarde;Fabien;La République en Marche;En marche !;OMC_PA719330
Grandjean;Carole;La République en Marche;En marche !;OMC_PA720170
Granjus;Florence;La République en Marche;En marche !;OMC_PA722062
Grau;Romain;La République en Marche;En marche !;OMC_PA720790
Gregoire;Olivia;La République en Marche;En marche !;OMC_PA721764
Grelier;Jean-Carles;Les Républicains;Les Républicains;OMC_PA267318
Guerel;Émilie;La République en Marche;En marche !;OMC_PA721792
Guerini;Stanislas;La République en Marche;En marche !;OMC_PA721498
Guévenoux;Marie;La République en Marche;En marche !;OMC_PA721880
Guion-Firmin;Claire;Les Républicains;Les Républicains;OMC_PA721126
Habib;David;Nouvelle Gauche;Parti socialiste;OMC_PA1592
Habib;Meyer;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA695100
Hai;Nadia;La République en Marche;En marche !;OMC_PA722054
Hammerer;Véronique;La République en Marche;En marche !;OMC_PA719652
Hammouche;Brahim;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720326
Haury;Yannick;La République en Marche;En marche !;OMC_PA720054
Hennion;Christine;La République en Marche;En marche !;OMC_PA722094
Henriet;Pierre;La République en Marche;En marche !;OMC_PA722070
Herbillon;Michel;Les Républicains;Les Républicains;OMC_PA1630
Hérin;Danièle;La République en Marche;En marche !;OMC_PA718794
Herth;Antoine;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA267355
Hetzel;Patrick;Les Républicains;Les Républicains;OMC_PA608416
Holroyd;Alexandre;La République en Marche;En marche !;OMC_PA721150
Houbron;Dimitri;La République en Marche;En marche !;OMC_PA720454
Houlié;Sacha;La République en Marche;En marche !;OMC_PA722150
Huppé;Philippe;La République en Marche;En marche !;OMC_PA719700
Hutin;Christian;Nouvelle Gauche;Parti socialiste;OMC_PA333818
Huyghe;Sébastien;Les Républicains;Les Républicains;OMC_PA267200
Iborra;Monique;La République en Marche;En marche !;OMC_PA331835
Isaac-Sibille;Cyrille;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA722374
Jacob;Christian;Les Républicains;Les Républicains;OMC_PA1695
Jacques;Jean-Michel;La République en Marche;En marche !;OMC_PA720354
Jacquier-Laforge;Élodie;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719874
Janvier;Caroline;La République en Marche;En marche !;OMC_PA720074
Jégo;Yves;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA267801
Jerretie;Christophe;La République en Marche;En marche !;OMC_PA719060
Jolivet;François;La République en Marche;En marche !;OMC_PA719778
Joncour;Bruno;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719210
Josso;Sandrine;La République en Marche;En marche !;OMC_PA720038
Juanico;Régis;Nouvelle Gauche;Parti socialiste;OMC_PA332614
Julien-Laferriere;Hubert;La République en Marche;En marche !;OMC_PA722344
Jumel;Sébastien;Gauche démocrate et républicaine;Parti communiste français;OMC_PA722202
Kamardine;Mansour;Les Républicains;Les Républicains;OMC_PA267901
Kamowski;Catherine;La République en Marche;En marche !;OMC_PA719994
Karamanli;Marietta;Nouvelle Gauche;Parti socialiste;OMC_PA335054
Kasbarian;Guillaume;La République en Marche;En marche !;OMC_PA719372
Kerbarh;Stéphanie;La République en Marche;En marche !;OMC_PA721514
Kerlogot;Yannick;La République en Marche;En marche !;OMC_PA719230
Kervran;Loïc;La République en Marche;En marche !;OMC_PA719052
Khattabi;Fadila;La République en Marche;En marche !;OMC_PA719186
Khedher;Anissa;La République en Marche;En marche !;OMC_PA722300
Kokouendo;Rodrigue;La République en Marche;En marche !;OMC_PA721644
Krabal;Jacques;La République en Marche;En marche !;OMC_PA605084
Krimi;Sonia;La République en Marche;En marche !;OMC_PA720202
Kuric;Aina;La République en Marche;En marche !;OMC_PA720214
Kuster;Brigitte;Les Républicains;Les Républicains;OMC_PA721506
Laabid;Mustapha;La République en Marche;En marche !;OMC_PA719842
Labaronne;Daniel;La République en Marche;En marche !;OMC_PA719798
Lachaud;Bastien;La France insoumise;La France Insoumise;OMC_PA720846
Lacroute;Valérie;Les Républicains;Les Républicains;OMC_PA609245
Lagarde;Jean-Christophe;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA268019
Lagleize;Jean-Luc;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719504
Lainé;Fabien;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719918
Lakrafi;Amal-Amélia;La République en Marche;En marche !;OMC_PA721004
Lambert;Jérôme;Nouvelle Gauche;Parti socialiste;OMC_PA1809
Lambert;François-Michel;La République en Marche;Parti radical de gauche;OMC_PA605518
Lang;Anne-Christine;La République en Marche;En marche !;OMC_PA643205
Laqhila;Mohamed;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA718978
de La Raudière;Laure;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA331567
Lardet;Frédérique;La République en Marche;En marche !;OMC_PA721434
Larive;Michel;La France insoumise;La France Insoumise;OMC_PA718868
Larrivé;Guillaume;Les Républicains;Les Républicains;OMC_PA267785
Larsonneur;Jean-Charles;La République en Marche;En marche !;OMC_PA719396
Lassalle;Jean;Non inscrit;Régions et peuples solidaires;OMC_PA1838
Lasserre-David;Florence;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720764
Latombe;Philippe;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721984
Lauzzana;Michel;La République en Marche;En marche !;OMC_PA720022
de Lavergne;Célia;La République en Marche;En marche !;OMC_PA719310
Lazaar;Fiona;La République en Marche;En marche !;OMC_PA720916
Lebec;Marie;La République en Marche;En marche !;OMC_PA721852
Le Bohec;Gaël;La République en Marche;En marche !;OMC_PA719728
Leclabart;Jean-Claude;La République en Marche;En marche !;OMC_PA722228
Leclerc;Sébastien;Les Républicains;Les Républicains;OMC_PA340853
Lecocq;Charlotte;La République en Marche;En marche !;OMC_PA720480
Lecoq;Jean-Paul;Gauche démocrate et républicaine;Parti communiste français;OMC_PA335612
Ledoux;Vincent;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA712014
Le Feur;Sandrine;La République en Marche;En marche !;OMC_PA719412
Le Foll;Stéphane;Nouvelle Gauche;Parti socialiste;OMC_PA588886
Le Fur;Marc;Les Républicains;Les Républicains;OMC_PA1874
Le Gac;Didier;La République en Marche;En marche !;OMC_PA719404
Le Gendre;Gilles;La République en Marche;En marche !;OMC_PA721466
Le Grip;Constance;Les Républicains;Les Républicains;OMC_PA345722
Leguille-Balloy;Martine;La République en Marche;En marche !;OMC_PA722008
Lejeune;Christophe;La République en Marche;En marche !;OMC_PA722320
Le Meur;Annaïg;La République en Marche;En marche !;OMC_PA719388
Lenne;Marion;La République en Marche;En marche !;OMC_PA721450
Le Peih;Nicole;La République en Marche;En marche !;OMC_PA720342
