"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"BANNIER","Géraldine","MODEM","Mouvement Démocrate","F","Mayenne","geraldine-bannier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720256"
"JAVOIS","Claire","LR","Les Républicains","F","Saint-Barthélemy et Saint-Martin","claire-guion-firmin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721126"
"VIALAY","Michel","LR","Les Républicains","H","Yvelines","michel-vialay","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721968"
"MILLIENNE","Bruno","MODEM","Mouvement Démocrate","H","Yvelines","bruno-millienne","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721976"
"MBAYE","Jean François","LREM","En Marche !","H","Val-de-Marne","jean-francois-mbaye","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720870"
"BONNIVARD","Emilie","LR","Les Républicains","F","Savoie","emilie-bonnivard","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721410"
"DESCROZAILLE","Frédéric","LREM","En Marche !","H","Val-de-Marne","frederic-descrozaille","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720862"
"GOUFFIER-CHA","Guillaume","LREM","En Marche !","H","Val-de-Marne","guillaume-gouffier-cha","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721296"
"BRIDEY","Jean-Jacques","LREM","En Marche !","H","Val-de-Marne","jean-jacques-bridey","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA672"
"PETIT","Maud","MODEM","Mouvement Démocrate","F","Val-de-Marne","maud-petit","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721234"
"CARREZ","Gilles","LR","Les Républicains","H","Val-de-Marne","gilles-carrez","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA746"
"BARBIER","Frédéric","LREM","En Marche !","H","Doubs","frederic-barbier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA642724"
"GENEVARD","Annie","LR","Les Républicains","F","Doubs","annie-genevard","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605991"
"ALAUZET","Eric","LREM","En Marche !","H","Doubs","eric-alauzet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605963"
