"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"BELRHITI","Catherine","Groupe Les Républicains","Les Républicains","F","Moselle","catherine-belrhiti","http://www.senat.fr/senateur/belrhiti_catherine19954n.html"
"BENARROCHE","Guy","Groupe Écologiste -Solidarité et Territoires","Europe Écologie Les Verts","H","Bouches-du-Rhône","guy-benarroche","http://www.senat.fr/senateur/benarroche_guy20110q.html"
"BENBASSA","Esther","Réunion administrative des Sénateurs ne figurant sur la liste d'aucun groupe","Europe Écologie Les Verts","F","Paris","esther-benbassa","http://www.senat.fr/senateur/benbassa_esther11033f.html"
"BERTHET","Martine","Groupe Les Républicains","Les Républicains","F","Savoie","martine-berthet","http://www.senat.fr/senateur/berthet_martine19575f.html"
"BIGOT","Joël","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Maine-et-Loire","joel-bigot","http://www.senat.fr/senateur/bigot_joel19549d.html"
"BILHAC","Christian","Groupe du Rassemblement Démocratique et Social Européen","Parti radical de gauche","H","Hérault","christian-bilhac","http://www.senat.fr/senateur/bilhac_christian20116w.html"
"BILLON","Annick","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","F","Vendée","annick-billon","http://www.senat.fr/senateur/billon_annick14030q.html"
"BLANC","Étienne","Groupe Les Républicains","Les Républicains","H","Rhône","etienne-blanc","http://www.senat.fr/senateur/blanc_etienne17367q.html"
"BLANC","Jean-Baptiste","Groupe Les Républicains","Les Républicains","H","Vaucluse","jean-baptiste-blanc","http://www.senat.fr/senateur/blanc_jean_baptiste20086j.html"
"BLATRIX CONTAT","Florence","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","F","Ain","florence-blatrix-contat","http://www.senat.fr/senateur/blatrix_contat_florence20094j.html"
"BOCQUET","Éric","Groupe communiste républicain citoyen et écologiste","Parti communiste Français","H","Nord","eric-bocquet","http://www.senat.fr/senateur/bocquet_eric11040e.html"
"BONFANTI-DOSSAT","Christine","Groupe Les Républicains","Les Républicains","F","Lot-et-Garonne","christine-bonfanti-dossat","http://www.senat.fr/senateur/bonfanti_dossat_christine19367y.html"
"BONHOMME","François","Groupe Les Républicains","Les Républicains","H","Tarn-et-Garonne","francois-bonhomme","http://www.senat.fr/senateur/bonhomme_francois14069u.html"
"BONNEAU","François","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","H","Charente","francois-bonneau","http://www.senat.fr/senateur/bonneau_francois20042v.html"
"BONNE","Bernard","Groupe Les Républicains","Les Républicains","H","Loire","bernard-bonne","http://www.senat.fr/senateur/bonne_bernard19415p.html"
"BONNECARRÈRE","Philippe","Groupe Union Centriste","Non rattaché","H","Tarn","philippe-bonnecarrere","http://www.senat.fr/senateur/bonnecarrere_philippe14089y.html"
"BONNEFOY","Nicole","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","F","Charente","nicole-bonnefoy","http://www.senat.fr/senateur/bonnefoy_nicole08060w.html"
"BONNUS","Michel","Groupe Les Républicains","Les Républicains","H","Var","michel-bonnus","http://www.senat.fr/senateur/bonnus_michel20078j.html"
